grain_id,label_id,area
"14846","3","48400"
"7926","2","871200"
"12936","3","145200"
"14847","3","48400"
"14848","3","48400"
"14849","3","48400"
"4251","2","3242800"
"5464","2","2032800"
"5465","2","2032800"
"4976","2","2420000"
"3847","2","3872000"
"3570","2","4307600"
"1683","2","12487200"
"8095","2","822800"
"3816","2","3920400"
"10755","3","338800"
"11182","3","290400"
"14850","3","48400"
"1658","2","12729200"
"3371","2","4743200"
"2942","2","5856400"
"4881","2","2516800"
"4657","2","2758800"
"6738","2","1306800"
"9444","3","532400"
"7619","2","968000"
"2504","2","7405200"
"3040","2","5566000"
"3397","2","4694800"
"2613","2","6872800"
"1670","2","12632400"
"5587","2","1936000"
"7620","2","968000"
"12937","3","145200"
"8684","2","677600"
"1406","2","15391200"
"4702","2","2710400"
"10041","3","435600"
"11636","3","242000"
"743","2","28943200"
"3102","2","5420800"
"7333","2","1064800"
"2438","2","7744000"
"5345","2","2129600"
"6406","2","1452000"
"7496","2","1016400"
"10042","3","435600"
"2092","2","9631600"
"11183","3","290400"
"14851","3","48400"
"1987","2","10309200"
"1223","2","17617600"
"3817","2","3920400"
"495","2","46754400"
"2665","2","6727600"
"5533","2","1984400"
"5534","2","1984400"
"2293","2","8518400"
"7927","2","871200"
"14852","3","48400"
"1253","2","17182000"
"817","2","26668400"
"5026","2","2371600"
"2231","2","8808800"
"677","2","32234400"
"9711","3","484000"
"934","2","23038400"
"193","2","126469200"
"5286","2","2178000"
"2754","2","6437200"
"6739","2","1306800"
"6131","2","1597200"
"5411","2","2081200"
"8471","2","726000"
"7928","2","871200"
"12938","3","145200"
"944","2","22796400"
"3625","2","4210800"
"12939","3","145200"
"14853","3","48400"
"12220","3","193600"
"12221","3","193600"
"13727","3","96800"
"84","2","281010400"
"2412","2","7840800"
"2820","2","6243600"
"4027","2","3581600"
"6317","2","1500400"
"7085","2","1161600"
"5535","2","1984400"
"10357","3","387200"
"238","2","101252800"
"2223","2","8857200"
"12222","3","193600"
"5536","2","1984400"
"8472","2","726000"
"14854","3","48400"
"998","2","21683200"
"2194","2","9050800"
"2629","2","6824400"
"2990","2","5711200"
"5155","2","2274800"
"2171","2","9196000"
"7767","2","919600"
"7219","2","1113200"
"6132","2","1597200"
"12223","3","193600"
"10358","3","387200"
"14855","3","48400"
"1909","2","10841600"
"3022","2","5614400"
"1477","2","14616800"
"7497","2","1016400"
"4411","2","3049200"
"9177","2","580800"
"9445","3","532400"
"6318","2","1500400"
"13728","3","96800"
"10756","3","338800"
"13729","3","96800"
"14856","3","48400"
"14857","3","48400"
"1864","2","11132000"
"5537","2","1984400"
"3529","2","4404400"
"4489","2","2952400"
"7334","2","1064800"
"197","2","124146000"
"12224","3","193600"
"3338","2","4840000"
"420","2","56095600"
"3946","2","3726800"
"8922","2","629200"
"8923","2","629200"
"8473","2","726000"
"7086","2","1161600"
"6950","2","1210000"
"13730","3","96800"
"14858","3","48400"
"756","2","28507600"
"1604","2","13261600"
"3848","2","3872000"
"2991","2","5711200"
"6622","2","1355200"
"4571","2","2855600"
"670","2","32863600"
"6319","2","1500400"
"7621","2","968000"
"2335","2","8276400"
"7622","2","968000"
"3818","2","3920400"
"3279","2","4985200"
"776","2","27684800"
"10359","3","387200"
"14859","3","48400"
"11637","3","242000"
"11638","3","242000"
"2424","2","7792400"
"9446","3","532400"
"2252","2","8712000"
"3354","2","4791600"
"4216","2","3291200"
"14860","3","48400"
"1041","2","20812000"
"1605","2","13261600"
"3023","2","5614400"
"9712","3","484000"
"10043","3","435600"
"14861","3","48400"
"7498","2","1016400"
"7499","2","1016400"
"14862","3","48400"
"4217","2","3291200"
"4079","2","3484800"
"7500","2","1016400"
"7087","2","1161600"
"80","2","297224400"
"5968","2","1694000"
"2375","2","8034400"
"2802","2","6292000"
"5728","2","1839200"
"2366","2","8082800"
"622","2","35670800"
"1376","2","15778400"
"960","2","22457600"
"1819","2","11422400"
"9178","2","580800"
"7335","2","1064800"
"3849","2","3872000"
"4977","2","2420000"
"13731","3","96800"
"12940","3","145200"
"656","2","33783200"
"814","2","26716800"
"1236","2","17424000"
"4882","2","2516800"
"2187","2","9099200"
"7088","2","1161600"
"6740","2","1306800"
"14863","3","48400"
"13732","3","96800"
"511","2","44963600"
"1443","2","14955600"
"198","2","123952400"
"4056","2","3533200"
"4703","2","2710400"
"2557","2","7114800"
"2472","2","7598800"
"3197","2","5178800"
"2071","2","9776800"
"12225","3","193600"
"5346","2","2129600"
"13733","3","96800"
"1526","2","14036000"
"2011","2","10164000"
"6407","2","1452000"
"2721","2","6534000"
"60","2","357676000"
"1024","2","21054000"
"935","2","23038400"
"4028","2","3581600"
"3850","2","3872000"
"11184","3","290400"
"12226","3","193600"
"2977","2","5759600"
"2163","2","9244400"
"6623","2","1355200"
"4293","2","3194400"
"160","2","153186000"
"2722","2","6534000"
"8267","2","774400"
"12227","3","193600"
"8685","2","677600"
"14864","3","48400"
"8686","2","677600"
"2312","2","8421600"
"1550","2","13697200"
"2546","2","7163200"
"1676","2","12584000"
"12941","3","145200"
"12942","3","145200"
"13734","3","96800"
"12228","3","193600"
"14865","3","48400"
"332","2","69696000"
"1177","2","18295200"
"153","2","166980000"
"1500","2","14326400"
"878","2","24635600"
"2018","2","10115600"
"5027","2","2371600"
"8268","2","774400"
"8924","2","629200"
"10757","3","338800"
"9179","2","580800"
"7336","2","1064800"
"14866","3","48400"
"14867","3","48400"
"8474","2","726000"
"2457","2","7647200"
"142","2","178789600"
"5412","2","2081200"
"6624","2","1355200"
"3462","2","4549600"
"3649","2","4162400"
"3650","2","4162400"
"7768","2","919600"
"6625","2","1355200"
"11639","3","242000"
"5028","2","2371600"
"13735","3","96800"
"551","2","40607600"
"86","2","274331200"
"3143","2","5324000"
"6320","2","1500400"
"11185","3","290400"
"8687","2","677600"
"10758","3","338800"
"9180","2","580800"
"6840","2","1258400"
"13736","3","96800"
"3878","2","3823600"
"10044","3","435600"
"7220","2","1113200"
"11186","3","290400"
"3198","2","5178800"
"10360","3","387200"
"12943","3","145200"
"295","2","81263600"
"3157","2","5275600"
"1594","2","13358400"
"3124","2","5372400"
"5729","2","1839200"
"5538","2","1984400"
"915","2","23474000"
"276","2","88039600"
"2241","2","8760400"
"1690","2","12438800"
"2770","2","6388800"
"8096","2","822800"
"8925","2","629200"
"13737","3","96800"
"7501","2","1016400"
"1551","2","13697200"
"2082","2","9680000"
"3571","2","4307600"
"10361","3","387200"
"9713","3","484000"
"8097","2","822800"
"12944","3","145200"
"8688","2","677600"
"4658","2","2758800"
"5539","2","1984400"
"8926","2","629200"
"4294","2","3194400"
"13738","3","96800"
"8269","2","774400"
"13739","3","96800"
"947","2","22748000"
"4525","2","2904000"
"2992","2","5711200"
"8270","2","774400"
"10362","3","387200"
"14868","3","48400"
"12229","3","193600"
"2447","2","7695600"
"2803","2","6292000"
"3947","2","3726800"
"3677","2","4114000"
"5652","2","1887600"
"516","2","44624800"
"11187","3","290400"
"2614","2","6872800"
"792","2","27346000"
"2406","2","7889200"
"4451","2","3000800"
"9181","2","580800"
"13740","3","96800"
"1717","2","12196800"
"2367","2","8082800"
"3463","2","4549600"
"11188","3","290400"
"9182","2","580800"
"8271","2","774400"
"1691","2","12438800"
"3041","2","5566000"
"8272","2","774400"
"10759","3","338800"
"8098","2","822800"
"872","2","24877600"
"1427","2","15149200"
"1636","2","12922800"
"2083","2","9680000"
"2838","2","6195200"
"10760","3","338800"
"11189","3","290400"
"1798","2","11567600"
"1648","2","12826000"
"3144","2","5324000"
"880","2","24587200"
"7337","2","1064800"
"7338","2","1064800"
"7089","2","1161600"
"7769","2","919600"
"4452","2","3000800"
"13741","3","96800"
"4526","2","2904000"
"11190","3","290400"
"12945","3","145200"
"434","2","53240000"
"1468","2","14713600"
"1623","2","13019600"
"3909","2","3775200"
"10045","3","435600"
"12230","3","193600"
"12231","3","193600"
"10761","3","338800"
"11191","3","290400"
"7502","2","1016400"
