grain_id,label_id,area
4723,2,2032800.000
5989,2,1210000.000
7126,2,774400.000
7457,2,677600.000
8101,3,532400.000
6705,2,919600.000
10478,3,193600.000
12532,3,48400.000
11671,3,96800.000
6212,2,1113200.000
2313,2,6872800.000
3047,2,4452800.000
5311,2,1597200.000
5168,2,1694000.000
4362,2,2371600.000
3706,2,3194400.000
5169,2,1694000.000
4602,2,2129600.000
4241,2,2516800.000
4190,2,2565200.000
7283,2,726000.000
2359,2,6679200.000
3656,2,3291200.000
2893,2,4840000.000
3707,2,3194400.000
8599,3,435600.000
5990,2,1210000.000
5312,2,1597200.000
12533,3,48400.000
11672,3,96800.000
6436,2,1016400.000
2191,1,7502000.000
5313,2,1597200.000
12534,3,48400.000
10013,3,242000.000
12535,3,48400.000
2492,2,6098400.000
12536,3,48400.000
9611,3,290400.000
3605,2,3388000.000
5039,2,1790800.000
3380,2,3775200.000
3796,2,3049200.000
5696,2,1355200.000
3657,2,3291200.000
3496,2,3581600.000
2764,2,5227200.000
1912,2,8615200.000
1885,2,8760400.000
1604,2,10696400.000
4964,2,1839200.000
8102,3,532400.000
8600,3,435600.000
4409,2,2323200.000
1688,2,10164000.000
3828,2,3000800.000
8348,3,484000.000
11011,3,145200.000
7458,2,677600.000
7284,2,726000.000
10014,3,242000.000
10015,3,242000.000
11673,3,96800.000
3408,2,3726800.000
10016,3,242000.000
11674,3,96800.000
847,2,23425600.000
1100,2,17230400.000
1824,2,9196000.000
1253,2,14858800.000
2738,1,5324000.000
4784,2,1984400.000
6213,2,1113200.000
6214,2,1113200.000
4724,2,2032800.000
4191,2,2565200.000
6832,2,871200.000
810,2,24490400.000
9231,3,338800.000
7658,2,629200.000
8601,3,435600.000
7659,2,629200.000
2565,2,5856400.000
3990,2,2807200.000
7285,2,726000.000
11675,3,96800.000
2442,2,6292000.000
4603,2,2129600.000
8349,3,484000.000
8350,3,484000.000
1486,2,11858000.000
778,2,25119600.000
1069,2,17714400.000
1088,2,17424000.000
2252,2,7163200.000
872,2,22360800.000
2346,2,6727600.000
1171,2,16117200.000
1728,2,9825200.000
5889,2,1258400.000
4785,2,1984400.000
7127,2,774400.000
11676,3,96800.000
6319,2,1064800.000
5618,2,1403600.000
8103,3,532400.000
8889,3,387200.000
5619,2,1403600.000
12537,3,48400.000
5256,2,1645600.000
5543,2,1452000.000
11677,3,96800.000
8104,3,532400.000
10017,3,242000.000
476,2,40317200.000
1776,2,9534800.000
1523,2,11470800.000
2984,2,4598000.000
2276,2,7018000.000
4410,2,2323200.000
1095,2,17327200.000
700,2,27926800.000
3181,2,4162400.000
